time,encoding,precision,accuracy,recall
2025-01-04 10:45:03,DISTRIBUTIVE,97.38,97.33,97.33
2025-01-04 10:45:03,GAUSSIAN,96.19,96.0,96.0
2025-01-04 10:45:03,SCATTER,94.01,94.0,94.0
2025-01-04 10:45:09,DISTRIBUTIVE,97.38,97.33,97.33
2025-01-04 10:45:09,GAUSSIAN,96.19,96.0,96.0
2025-01-04 10:45:09,SCATTER,92.68,92.67,92.67
2025-01-04 10:46:01,DISTRIBUTIVE,97.38,97.33,97.33
2025-01-04 10:46:01,GAUSSIAN,96.19,96.0,96.0
2025-01-04 10:46:01,SCATTER,93.4,93.33,93.33
2025-01-14 16:55:19,DISTRIBUTIVE,97.38,97.33,97.33
2025-01-14 16:55:19,GAUSSIAN,96.19,96.0,96.0
2025-01-14 16:55:19,SCATTER,91.26,89.33,89.33
2025-01-14 16:55:27,DISTRIBUTIVE,97.38,97.33,97.33
2025-01-14 16:55:27,GAUSSIAN,96.19,96.0,96.0
2025-01-14 16:55:27,SCATTER,92.25,92.0,92.0
