model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:43:45,Distributive,90.48,0.0053
Wisard,2025-01-21 19:43:45,Gaussian,90.77,0.0043
Wisard,2025-01-21 19:43:45,Linear,87.8,0.0042
Wisard,2025-01-21 19:43:45,Scatter Code,89.88,0.0078
Wisard,2025-01-21 19:46:00,Distributive,90.19,0.0043
Wisard,2025-01-21 19:46:00,Gaussian,82.71,0.0032
Wisard,2025-01-21 19:46:00,Linear,73.36,0.0034
Wisard,2025-01-21 19:46:00,Scatter Code,38.32,0.0126
Wisard,2025-01-21 19:51:41,Distributive,90.19,0.0033
Wisard,2025-01-21 19:51:41,Gaussian,82.71,0.0038
Wisard,2025-01-21 19:51:41,Linear,73.36,0.0038
Wisard,2025-01-21 19:51:41,Scatter Code,38.32,0.0129
Wisard,2025-01-21 20:02:17,Distributive,90.19,0.0032
Wisard,2025-01-21 20:02:17,Gaussian,82.71,0.0033
Wisard,2025-01-21 20:02:17,Linear,73.36,0.0034
Wisard,2025-01-21 20:02:17,Scatter Code,37.85,0.0127
Wisard,2025-01-21 21:53:52,Distributive,90.19,0.0033
Wisard,2025-01-21 21:53:52,Gaussian,82.71,0.0033
Wisard,2025-01-21 21:53:52,Linear,73.36,0.0035
Wisard,2025-01-21 21:53:52,Scatter Code,37.38,0.0136
Wisard,2025-01-21 21:56:17,Distributive,90.19,0.0033
Wisard,2025-01-21 21:56:17,Gaussian,82.71,0.0032
Wisard,2025-01-21 21:56:17,Linear,73.36,0.0033
Wisard,2025-01-21 21:56:17,Scatter Code,37.38,0.0136
Wisard,2025-01-21 21:57:55,Distributive,90.19,0.0035
Wisard,2025-01-21 21:57:55,Gaussian,82.71,0.0033
Wisard,2025-01-21 21:57:55,Linear,73.36,0.0033
Wisard,2025-01-21 21:57:55,Scatter Code,38.32,0.0158
Wisard,2025-01-21 21:59:37,Distributive,90.19,0.0032
Wisard,2025-01-21 21:59:37,Gaussian,82.71,0.0033
Wisard,2025-01-21 21:59:37,Linear,73.36,0.0033
Wisard,2025-01-21 21:59:37,Scatter Code,38.32,0.0150
Wisard,2025-01-21 22:01:28,Distributive,90.19,0.0035
Wisard,2025-01-21 22:01:28,Gaussian,82.71,0.0033
Wisard,2025-01-21 22:01:28,Linear,73.36,0.0033
Wisard,2025-01-21 22:01:28,Scatter Code,38.32,0.0128
Wisard,2025-01-21 22:03:13,Distributive,90.19,0.0048
Wisard,2025-01-21 22:03:13,Gaussian,82.71,0.0037
Wisard,2025-01-21 22:03:13,Linear,73.36,0.0035
Wisard,2025-01-21 22:03:13,Scatter Code,37.85,0.0127
Wisard,2025-01-21 22:04:57,Distributive,90.19,0.0039
Wisard,2025-01-21 22:04:57,Gaussian,82.71,0.0033
Wisard,2025-01-21 22:04:57,Linear,73.36,0.0032
Wisard,2025-01-21 22:04:57,Scatter Code,38.32,0.0128
Wisard,2025-01-21 22:06:40,Distributive,90.19,0.0033
Wisard,2025-01-21 22:06:40,Gaussian,82.71,0.0032
Wisard,2025-01-21 22:06:40,Linear,73.36,0.0033
Wisard,2025-01-21 22:06:40,Scatter Code,38.32,0.0127
Wisard,2025-01-21 22:08:24,Distributive,90.19,0.0049
Wisard,2025-01-21 22:08:24,Gaussian,82.71,0.0034
Wisard,2025-01-21 22:08:24,Linear,73.36,0.0034
Wisard,2025-01-21 22:08:24,Scatter Code,38.32,0.0137
Wisard,2025-01-21 22:10:09,Distributive,90.19,0.0049
Wisard,2025-01-21 22:10:09,Gaussian,82.71,0.0044
Wisard,2025-01-21 22:10:09,Linear,73.36,0.0050
Wisard,2025-01-21 22:10:09,Scatter Code,38.32,0.0137
Wisard,2025-01-21 22:11:57,Distributive,90.19,0.0038
Wisard,2025-01-21 22:11:57,Gaussian,82.71,0.0039
Wisard,2025-01-21 22:11:57,Linear,73.36,0.0037
Wisard,2025-01-21 22:11:57,Scatter Code,38.32,0.0135
Wisard,2025-01-21 22:13:49,Distributive,90.19,0.0077
Wisard,2025-01-21 22:13:49,Gaussian,82.71,0.0042
Wisard,2025-01-21 22:13:49,Linear,73.36,0.0047
Wisard,2025-01-21 22:13:49,Scatter Code,38.32,0.0151
Wisard,2025-01-21 22:15:37,Distributive,90.19,0.0081
Wisard,2025-01-21 22:15:37,Gaussian,82.71,0.0063
Wisard,2025-01-21 22:15:37,Linear,73.36,0.0081
Wisard,2025-01-21 22:15:37,Scatter Code,38.32,0.0181
Wisard,2025-01-21 22:17:26,Distributive,90.19,0.0056
Wisard,2025-01-21 22:17:26,Gaussian,82.71,0.0036
Wisard,2025-01-21 22:17:26,Linear,73.36,0.0042
Wisard,2025-01-21 22:17:26,Scatter Code,38.32,0.0146
Wisard,2025-01-21 22:19:23,Distributive,90.19,0.0049
Wisard,2025-01-21 22:19:23,Gaussian,82.71,0.0034
Wisard,2025-01-21 22:19:23,Linear,73.36,0.0034
Wisard,2025-01-21 22:19:23,Scatter Code,38.32,0.0131
Wisard,2025-01-21 22:21:18,Distributive,90.19,0.0042
Wisard,2025-01-21 22:21:18,Gaussian,82.71,0.0039
Wisard,2025-01-21 22:21:18,Linear,73.36,0.0034
Wisard,2025-01-21 22:21:18,Scatter Code,37.85,0.0129
Wisard,2025-01-21 22:23:07,Distributive,90.19,0.0040
Wisard,2025-01-21 22:23:07,Gaussian,82.71,0.0033
Wisard,2025-01-21 22:23:07,Linear,73.36,0.0039
Wisard,2025-01-21 22:23:07,Scatter Code,38.32,0.0133
Wisard,2025-01-21 22:24:51,Distributive,90.19,0.0035
Wisard,2025-01-21 22:24:51,Gaussian,82.71,0.0033
Wisard,2025-01-21 22:24:51,Linear,73.36,0.0034
Wisard,2025-01-21 22:24:51,Scatter Code,38.32,0.0128
Wisard,2025-01-21 22:26:39,Distributive,90.19,0.0033
Wisard,2025-01-21 22:26:39,Gaussian,82.71,0.0034
Wisard,2025-01-21 22:26:39,Linear,73.36,0.0033
Wisard,2025-01-21 22:26:39,Scatter Code,38.32,0.0140
Wisard,2025-01-21 22:28:26,Distributive,90.19,0.0044
Wisard,2025-01-21 22:28:26,Gaussian,82.71,0.0041
Wisard,2025-01-21 22:28:26,Linear,73.36,0.0044
Wisard,2025-01-21 22:28:26,Scatter Code,38.32,0.0137
Wisard,2025-01-21 22:30:18,Distributive,90.19,0.0053
Wisard,2025-01-21 22:30:18,Gaussian,82.71,0.0064
Wisard,2025-01-21 22:30:18,Linear,73.36,0.0040
Wisard,2025-01-21 22:30:18,Scatter Code,38.32,0.0164
